measure,portname,n_overlap_days,n_changed_rows,pct_changed_rows,mean_july,mean_august,mean_ratio_august_over_july,mean_difference_august_minus_july
capacity_general_cargo,Cape of Good Hope,2750,4,0.14545454545454545,31299.390909090907,31284.032363636365,0.9995093020979497,-15.358545454542764
capacity_general_cargo,Gibraltar Strait,2750,4,0.14545454545454545,85788.29381818182,85786.0090909091,0.9999733678434314,-2.284727272723103
capacity_general_cargo,Luzon Strait,2750,3,0.1090909090909091,28604.089454545454,28588.44581818182,0.9994530979079584,-15.643636363634869
capacity_general_cargo,Suez Canal,2750,3,0.1090909090909091,24714.268727272727,24710.709454545453,0.9998559830854575,-3.5592727272742195
capacity_general_cargo,Bab el-Mandeb Strait,2750,2,0.07272727272727272,28236.17490909091,28236.174181818184,0.9999999742432277,-0.0007272727270901669
capacity_general_cargo,Balabac Strait,2750,2,0.07272727272727272,5092.157818181819,5089.464727272727,0.9994711297243232,-2.693090909091552
capacity_general_cargo,Dover Strait,2750,2,0.07272727272727272,118523.96145454545,118519.22036363637,0.9999599988824969,-4.741090909083141
capacity_general_cargo,Mindoro Strait,2750,2,0.07272727272727272,13177.899272727273,13175.58690909091,0.9998245271428695,-2.312363636363443
capacity_general_cargo,Oresund Strait,2750,2,0.07272727272727272,35810.73090909091,35809.86327272727,0.9999757716097489,-0.8676363636404858
capacity_general_cargo,Tsugaru Strait,2750,2,0.07272727272727272,18829.610545454547,18828.623636363638,0.9999475873869762,-0.986909090908739
capacity_general_cargo,Lombok Strait,2750,1,0.03636363636363636,5240.98,5240.181090909091,0.9998475649418794,-0.7989090909086372
capacity_general_cargo,Ombai Strait,2750,1,0.03636363636363636,3178.1072727272726,3175.0621818181817,0.9990418539565287,-3.045090909090959
capacity_general_cargo,Panama Canal,2750,1,0.03636363636363636,14929.856,14928.458909090908,0.9999064230151254,-1.3970909090912755
capacity_general_cargo,Sunda Strait,2750,1,0.03636363636363636,14831.77709090909,14831.933454545455,1.0000105424748098,0.15636363636440365
