terminal_pair,support_status,pre_sequences,post_sequences,pre_share,post_share,pre_mean_burden,post_mean_burden,terminal_radius_km,cohort
T100000130494 -> T100000131064,common,1,2,0.0010548523206751054,0.0027548209366391185,284002667.31234974,284002667.31234974,30,all_retained
T100000130512 -> T100000130392,common,3,8,0.0031645569620253164,0.011019283746556474,209855180.86487576,208172721.2251832,30,all_retained
T100000130512 -> T100000130463,common,4,4,0.004219409282700422,0.005509641873278237,161744526.89064297,161579985.15423334,30,all_retained
T100000130512 -> T100000130467,common,5,6,0.005274261603375527,0.008264462809917356,138370503.64590088,137917695.88921943,30,all_retained
T100000130512 -> T100000130475,common,2,1,0.002109704641350211,0.0013774104683195593,156320305.09368744,156320305.09368744,30,all_retained
T100000130512 -> T100000130477,common,2,1,0.002109704641350211,0.0013774104683195593,95813843.26766075,95289554.11161336,30,all_retained
T100000130512 -> T100000130485,common,1,1,0.0010548523206751054,0.0013774104683195593,119753504.21050976,119753504.21050976,30,all_retained
T100000130512 -> T100000130509,common,2,1,0.002109704641350211,0.0013774104683195593,171716619.7726243,172479283.27007705,30,all_retained
T100000130512 -> T100000130811,common,3,3,0.0031645569620253164,0.004132231404958678,235274989.72373733,263662629.32890186,30,all_retained
T100000130518 -> T100000130426,common,14,15,0.014767932489451477,0.02066115702479339,453535119.5031572,453196351.4663468,30,all_retained
T100000130518 -> T100000130446,common,11,10,0.011603375527426161,0.013774104683195593,456891001.8210043,457209762.98506546,30,all_retained
T100000130518 -> T100000130456,common,6,7,0.006329113924050633,0.009641873278236915,537573871.6293352,537529248.5803081,30,all_retained
T100000130518 -> T100000130492,common,5,6,0.005274261603375527,0.008264462809917356,449284862.9340226,449284862.9340226,30,all_retained
