model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_dry_bulk,4,,8.267790228621282,10.574416638296016,0.9189242464772469,-0.8029652066815821,-216.7343363234207,-0.18461187080359515,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_general_cargo,4,,3.0,4.041451884327381,1.1187483970248782,0.6215268872360434,50.0,0.3067484662576687,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_general_cargo,4,,2.5176502724573835,3.2527333050465974,0.9388724021936485,-0.4610968389619077,-37.093877065594455,-0.22756979794843224,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_roro,4,,1.8666666666666667,2.3523038352503134,1.0442990893933564,0.29837116839810185,16.0,0.18181818181818182,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_roro,4,,1.1529154510746686,1.5540958050993259,0.6449938691275753,-0.31782323260991857,-17.043106909625415,-0.19367166942756153,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_tanker,4,,5.866666666666666,7.733045971672482,0.8713998706030578,0.049511356284264646,10.0,0.011049723756906077,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_tanker,4,,6.290976813266923,7.460708689944354,0.9344243831331194,-0.7917437410759811,-159.9115436325883,-0.17669783826805335,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Magellan Strait,n_container,5,,0.23333333333333334,0.48304589153964794,0.5931235431235431,-0.4236596736596736,-5.0,-0.5,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Magellan Strait,n_container,5,,0.4522140442060774,0.5389569675849837,1.149509126356008,-0.07311729663353549,-0.8629249038730873,-0.08629249038730873,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Magellan Strait,n_dry_bulk,5,,1.0,1.2909944487358056,0.6305290546400694,-0.2101763515466898,-10.0,-0.18181818181818182,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Magellan Strait,n_dry_bulk,5,,0.7039992098618737,0.9631327485776686,0.4438919562615631,0.10412320098664969,4.954087375692177,0.09007431592167595,30
